u,xi1,xi2,sig,phi,lpost,cont
341,1.5695093190739882,0.16331646628879293,214.13645537633596,0.008842540604548225,-8248.144378443156,TRUE
326,1.5334829570406718,0.37610703589813005,87.6145822101726,0.006922550720706094,-8246.484147986228,TRUE
283,1.5247209066603475,0.725328757037948,11.278852515589143,0.00884700373538891,-8246.032346952648,TRUE
7,2.0986448297524727,1.0353014507168452,6.587438710661352,0.1746545133784181,-8242.813972723197,FALSE
453,1.5582094149220156,0.5455151070642417,4.6252001990119425,0.005075980765258909,-8246.332697671121,TRUE
125,1.5415142401052704,0.9574462438252096,1.7101350919764107,0.019704712280415235,-8245.746844452213,TRUE
183,1.555506286119326,0.5482308833320961,214.79558443108093,0.012055277859453102,-8249.534735756642,FALSE
35,1.6067876927137394,0.8714180132720104,8.55191020862614,0.0549635887375182,-8244.15302350079,TRUE
2,2.453710575503375,1.1351147444803287,1.5808063359556292,0.39400176418700383,-8239.252797279414,FALSE
2,3.0736193781679,1.1416264642473823,1.3513613898662662,0.39400176418700383,-8240.027490346658,FALSE
2,3.700769068766786,1.1119061571238722,1.5870896768994398,0.39400176418700383,-8240.283660592557,FALSE
2,5.375648377407478,1.204037148497932,1.2734669666290142,0.39400176418700383,-8242.090183303771,FALSE
2,2.719161294295881,1.1808734077897305,1.3148527693732934,0.39400176418700383,-8239.182013347478,FALSE
493,1.4778656863474224,-0.050784664519510705,432.7018581291976,0.00593961495766858,-8251.393737027103,TRUE
265,1.5420952759581559,0.4039336996091718,135.04550674269555,0.011375041240812202,-8246.924944604189,TRUE
104,1.5249460970018784,0.6004323738052679,33.018094329451465,0.0204537030877295,-8246.282079578357,TRUE
37,1.6005129793929276,0.7714849495459263,23.929656003372706,0.05027932960893855,-8243.912040207693,FALSE
120,1.5248226080374134,0.4766277684089427,69.81784510460163,0.02137190371385179,-8246.09202845294,TRUE
120,1.534882278878186,0.5792033589384042,35.5232577676259,0.018063192770202338,-8245.90433066548,TRUE
130,1.5476326362184563,0.5225366785023564,55.39668928573043,0.018931359990083607,-8245.238283412871,TRUE
345,1.529486404351111,0.07108579891710566,287.6287248316144,0.006174654513378418,-8249.22770399492,FALSE
299,1.5207015416207643,0.32850749685045416,167.17864073847176,0.009790924942242103,-8247.304804633355,TRUE
475,1.537266545119468,0.47675889506313984,96.31896324356674,0.0057442944802906125,-8247.09148694342,TRUE
73,1.6151070150977456,0.6169173608265053,29.456387330593497,0.03229257211419312,-8245.469667991894,TRUE
136,1.6250276175456726,0.8800152224010026,15.174549720363476,0.02167973894952114,-8247.89853633821,TRUE
537,1.5782422619612346,0.5614057692794737,65.74777804200247,0.0058312791623245,-8248.89317113749,TRUE
682,1.540262331152487,0.8804104714501174,22.833583893077503,0.006131028785732396,-8251.998280840993,TRUE
112,1.5636617198277387,0.5411699690428998,48.75672510651303,0.02198435972174866,-8245.087613548325,TRUE
284,1.5978043335734373,0.3878363385399362,198.097592883998,0.007644810349897089,-8248.868664121253,FALSE
